account_id,account_age_days,kyc_status,account_type,is_mule
ACC0F180A6207,2088,MINIMAL,SAVINGS,False
ACCD48602E1A3,944,MINIMAL,SAVINGS,False
ACCD019EF104D,2375,FULL,CURRENT,False
ACC303EAC4D01,2432,FULL,SAVINGS,False
ACC5346C319AB,1206,FULL,SAVINGS,False
ACC2CE7E877F6,2836,FULL,SAVINGS,False
ACC7205071E66,1454,MINIMAL,WALLET,False
ACC4A0548B68E,2133,FULL,CURRENT,False
ACC81DC392E85,2233,FULL,SAVINGS,False
ACC22D19174C0,2913,FULL,SAVINGS,False
ACC37C4055C7E,1540,FULL,SAVINGS,False
ACC310299B2BE,2429,FULL,CURRENT,False
ACCF61053BC5D,2488,MINIMAL,SAVINGS,False
ACC82355AA165,1750,FULL,WALLET,False
ACCD640396C84,133,FULL,CURRENT,False
ACC252FD7BC9A,2916,FULL,SAVINGS,False
ACC0FA51F39ED,1788,FULL,SAVINGS,False
ACCFAC388C6A8,529,FULL,SAVINGS,False
ACC3211EF681D,2264,FULL,SAVINGS,False
ACC02FF434414,2275,FULL,SAVINGS,False
ACC3F7154BD55,1676,FULL,SAVINGS,False
ACCB234E3EB98,165,FULL,CURRENT,False
ACC87FB3F9272,2171,MINIMAL,SAVINGS,False
ACCEC627BE292,2867,FULL,SAVINGS,False
ACC609F92FEB0,1808,FULL,WALLET,False
ACCD595B9AE5B,1327,FULL,CURRENT,False
ACCD09C8A1B0A,2964,FULL,SAVINGS,False
ACC2C6C2E1FA6,779,MINIMAL,CURRENT,False
ACC32240B1F7D,293,FULL,WALLET,False
ACC8275FF2C7F,827,FULL,SAVINGS,False
ACC94607D8C9B,87,FULL,SAVINGS,False
ACC15E33B6F34,370,FULL,SAVINGS,False
ACC0497DAA32C,212,FULL,WALLET,False
ACC0AB8187CA3,2632,FULL,SAVINGS,False
ACC358CA098BA,2382,FULL,WALLET,False
ACCED914FEBCD,2981,MINIMAL,SAVINGS,False
ACC946659B84C,567,MINIMAL,CURRENT,False
ACC313718FC34,375,FULL,SAVINGS,False
ACC1BFC9B82B6,2430,FULL,SAVINGS,False
